"","Year","IcesDivision","species","LiveWtTonnes","LiveWtTonnesInclU10","MeanPricePerKgLiveWt","YearFact"
"3884",2016,"VIIg","Shrimp",5.4384,21.2857399906158,15.5394813914991,"2016"
"3885",2012,"VIIa","Pollack",27.02473,42.91333,1.85075752838234,"2012"
"3886",2014,"VIIg","Whiting",4763.590242,4779.54502199999,1.14679567499257,"2014"
"3887",2017,"VIIa","Haddock",1115.186247,1131.150767,1.82010182606721,"2017"
"3888",2008,"VIIb","Mackerel",9897.756,9913.756,0.735281805593106,"2008"
"3889",2015,"VIIa","Cod",121.878629,137.878744,2.53916678467003,"2015"
"3890",2016,"VIIg","Skates and rays",292.954602,309.031310000431,1.53480841401198,"2016"
"3891",2011,"VIIa","Nephrops",3616.95349,3633.09949,2.93994580478695,"2011"
"3892",2016,"VIIb","Pollack",43.936666,60.1322740406988,1.86531950330505,"2016"
"3893",2010,"VIIj","Spiny Lobsters",3.9131,20.1106,29.5424204983988,"2010"
"3894",2017,"VIIj","Saithe",240.349999,256.665136407635,1.28857559437258,"2017"
"3895",2013,"VIIb","Lobster",50.49045,66.99045,12.5961596527416,"2013"
"3896",2014,"VIIb","Pollack",59.525962,76.164181,1.91523114195572,"2014"
"3897",2017,"VIIj","Haddock",386.150604,403.072757590287,1.64751806396242,"2017"
"3898",2017,"VIIj","Scallop",13.8445,30.7987199792862,2.51456824009535,"2017"
"3899",2016,"VIIa","Hake",9.662301,26.721006,1.62959764966958,"2016"
"3900",2014,"VIa","Skates and rays",80.508394,97.6694102,1.63878693195644,"2014"
"3901",2013,"VIIb","Crab",743.9135,761.4135,1.17557882961751,"2013"
"3902",2016,"VIIj","Skates and rays",125.369628,142.89880939175,1.41272885252928,"2016"
"3903",2016,"VIIj","Nephrops",442.58636,460.389059999809,8.2758660099515,"2016"
"3904",2013,"VIIa","Shrimp",1.354,19.226,20.0787407680945,"2013"
"3905",2009,"VIIa","Shrimp",2.6975,20.9305,18.8834494902688,"2009"
"3906",2010,"VIIj","Nephrops",264.4512,283.1402,4.52311668844762,"2010"
"3907",2008,"VIIg","Nephrops",4025.19963,4043.96303,4.08618920495855,"2008"
"3908",2011,"VIIa","Mackerel",1.0865,19.9668,0.964680165669581,"2011"
"3909",2012,"VIIj","Cod",121.646758,140.608012,1.80755406321638,"2012"
"3910",2010,"VIIa","Skates and rays",556.857992,575.836992,1.90650660438302,"2010"
"3911",2015,"VIIj","Hake",1173.783324,1192.796564,2.72291364927597,"2015"
"3912",2012,"VIIj","Spiny Lobsters",8.63527,27.69577,32.2735571294188,"2012"
"3913",2015,"VIIj","Monkfish",646.699352000002,665.896852000146,3.45345287602408,"2015"
"3914",2015,"VIIj","Scallop",7.911,27.3485999965668,5.24037809519797,"2015"
"3915",2017,"VIIj","Mackerel",1231.34431,1250.88112,1.09476360845002,"2017"
"3916",2015,"VIIj","Skates and rays",119.03176,138.577431001132,1.49003124687121,"2015"
"3917",2008,"VIa","Shrimp",1.197,20.747,5,"2008"
"3918",2013,"VIIj","Skates and rays",119.682437,139.836537,1.25492858537157,"2013"
"3919",2015,"VIIb","Pollack",47.771875,68.0121779543471,2.02349252805636,"2015"
"3920",2015,"VIIa","Pollack",25.211672,45.6411590074201,2.29985036370469,"2015"
"3921",2016,"VIIg","Cod",631.437147000001,652.288455399212,2.25861814430122,"2016"
"3922",2017,"VIIj","Nephrops",618.81304,639.79023999981,9.23977649312137,"2017"
"3923",2015,"VIIb","Whelk",0.25,21.4253699951172,1.14,"2015"
"3924",2008,"VIIj","Scallop",13.8495,35.069,3.12501389941875,"2008"
"3925",2016,"VIIa","Skates and rays",189.788748,211.241301992879,1.95426997803097,"2016"
"3926",2014,"VIIj","Nephrops",163.15682,184.94882,6.84542049360854,"2014"
"3927",2013,"VIIg","Shrimp",5.72466,27.70766,18.7863592895407,"2013"
"3928",2013,"VIIg","Plaice",58.3597510000001,80.8456410000001,1.97825432072936,"2013"
"3929",2013,"VIIj","Spiny Lobsters",5.2332,27.8772,30.6860765879385,"2013"
"3930",2014,"VIIg","Ling",338.101979,360.825599000001,1.10328172906617,"2014"
"3931",2011,"VIIj","Mackerel",2660.1395,2682.9165,1.18664913500464,"2011"
"3932",2015,"VIIb","Skates and rays",98.126652,121.112410514552,1.46046751498258,"2015"
"3933",2008,"VIa","Scallop",2.1,25.1,1.2,"2008"
"3934",2015,"VIIa","Skates and rays",341.268464,364.488226970395,1.87906961232942,"2015"
"3935",2017,"VIIg","Shrimp",6.448,30.7244800000191,15.0247599887418,"2017"
"3936",2015,"VIIa","Nephrops",2240.17809,2264.46030995378,3.83355699322658,"2015"
"3937",2016,"VIIj","Saithe",188.974134,213.294220002419,1.2869974382115,"2016"
"3938",2014,"VIIg","Lobster",5.484,29.939,13.6029020787746,"2014"
"3939",2014,"VIIg","Skates and rays",266.366349,291.190189,1.53031306563024,"2014"
"3940",2012,"VIIa","Clam",76.041,100.901,2.2,"2012"
"3941",2011,"VIIa","Clam",53.681,78.657,2.2,"2011"
"3942",2014,"VIIb","Oyster",0.4,25.4,3.8,"2014"
"3943",2012,"VIIg","Skates and rays",308.255852,333.275747,1.41088934240889,"2012"
"3944",2013,"VIIa","Nephrops",2454.26971,2479.42271,3.46348142517022,"2013"
"3945",2011,"VIIa","European Pilchard",221.7,247.221,0.125272891294542,"2011"
"3946",2014,"VIa","Crab",2689.337,2715.114,1.26153130582816,"2014"
"3947",2013,"VIIa","Skates and rays",410.826528,436.882508,1.99451240239489,"2013"
"3948",2011,"VIa","Lobster",15.3551,41.9551,11.200881140468,"2011"
"3949",2016,"VIIj","Scallop",21.942,48.6571799163818,2.91204503608687,"2016"
"3950",2010,"VIIg","Cod",769.740207999999,796.617068000001,2.27799391698989,"2010"
"3951",2012,"VIIj","Nephrops",394.39703,421.42903,6.51078165852313,"2012"
"3952",2015,"VIIg","Cod",827.779995,855.062545002931,2.47558497336215,"2015"
"3953",2009,"VIIj","Scallop",9.8415,37.3375,3.32981557689377,"2009"
"3954",2008,"VIIa","Skates and rays",514.515278,542.075028,1.68518385498366,"2008"
"3955",2010,"VIIa","Cod",261.488158,289.100158,2.20923399733869,"2010"
"3956",2014,"VIIb","Shrimp",2.551,30.551,12.5278690003045,"2014"
"3957",2014,"VIIg","Monkfish",1440.488628,1468.565708,3.19462750505341,"2014"
"3958",2011,"VIIa","Cod",274.882558,303.025738,2.22728474451143,"2011"
"3959",2016,"VIIa","Pollack",35.969553,64.5312419914083,2.30636765937318,"2016"
"3960",2011,"VIa","Mackerel",36978.24482,37007.24482,1.01430799977828,"2011"
"3961",2015,"VIIg","Monkfish",1432.701509,1461.78791299936,3.23866651986374,"2015"
"3962",2013,"VIIg","Lobster",4.7156,34.0296,12.5849442276699,"2013"
"3963",2014,"VIIg","Haddock",1232.638261,1261.971331,1.69929099662905,"2014"
"3964",2016,"VIIb","Skates and rays",118.771307,148.150542978544,1.44366395053443,"2016"
"3965",2012,"VIIa","Skates and rays",473.693993,503.538903000001,1.96607259949531,"2012"
"3966",2016,"VIIg","Lobster",11.4614,41.4500000098884,14.8870192123126,"2016"
"3967",2017,"VIIb","Lobster",33.7396,63.898289991355,14.0259770862725,"2017"
"3968",2015,"VIIg","Lobster",6.6145,36.7941600109935,14.9983203567919,"2015"
"3969",2008,"VIIa","Sprat",71.6875,102.2025,0.16,"2008"
"3970",2013,"VIIg","Megrim",1577.850383,1608.367783,2.7811767964161,"2013"
"3971",2016,"VIIj","Monkfish",742.279656,772.961028000174,3.4743069958999,"2016"
"3972",2014,"VIIj","Whelk",0.0439,31.1859,1.31016978922717,"2014"
"3973",2014,"VIIg","Cod",940.299957,971.454716999998,2.4696775846927,"2014"
"3974",2017,"VIIg","Lobster",12.7865,44.4774700318873,15.5541090212333,"2017"
"3975",2015,"VIIj","Nephrops",221.61428,253.751610001831,7.14728805878394,"2015"
"3976",2014,"VIIg","Lemon Sole",326.188047,358.365297,2.52913498605681,"2014"
"3977",2016,"VIIj","Cod",95.1869460000001,127.910878999693,2.3267478744135,"2016"
"3978",2017,"VIIj","Monkfish",729.257527,762.069889243761,3.25207809679404,"2017"
"3979",2011,"VIIj","Pollack",293.85879,326.91129,1.72978963895364,"2011"
"3980",2012,"VIIg","Lobster",4.9085,38.0427,10.1630274776066,"2012"
"3981",2011,"VIIg","Cod",694.608915,728.324805,2.1702872903099,"2011"
"3982",2016,"VIIa","Cod",85.069485,119.14234199933,2.30323935487721,"2016"
"3983",2010,"VIIb","Shrimp",7.972,42.122,17.8823783241345,"2010"
"3984",2012,"VIIg","Shrimp",3.8925,38.1153,15.3901491164798,"2012"
"3985",2008,"VIIg","Mackerel",16.526,51.196,1.22255809502792,"2008"
"3986",2010,"VIa","Lobster",22.46907,57.28207,11.0787264643348,"2010"
"3987",2008,"VIIa","Scallop",546.327,582.653,10.7316783995666,"2008"
"3988",2011,"VIIg","Scallop",585.735,622.2,9.38713789916811,"2011"
"3989",2009,"VIa","Lobster",31.18081,68.25281,11.1728998115733,"2009"
"3990",2015,"VIIg","Skates and rays",239.210956,276.811004000027,1.54338015868065,"2015"
"3991",2013,"VIIa","Clam",21.3125,59.1355,2.2,"2013"
"3992",2012,"VIIg","Saithe",400.232084,438.206769,1.06960449102826,"2012"
"3993",2009,"VIa","Scallop",2.06,40.06,1.2,"2009"
"3994",2014,"VIIj","Lobster",14.8426,54.1766,12.1473518790508,"2014"
"3995",2013,"VIIj","Nephrops",412.3897,451.7337,6.07179438463254,"2013"
"3996",2009,"VIIa","Lobster",11.79307,51.35107,10.9764343735471,"2009"
"3997",2012,"VIIa","Cod",152.703045,192.54564,1.87512585268905,"2012"
"3998",2017,"VIIa","Nephrops",1246.10813,1286.00863801697,4.16086979727501,"2017"
"3999",2010,"VIIj","Scallop",7.528,47.761,3.70632704569607,"2010"
"4000",2008,"VIIa","Lobster",10.20839,50.91149,12.8380853591996,"2008"
"4001",2014,"VIIj","Scallop",5.63939,46.91039,3.46377845644186,"2014"
"4002",2012,"VIIg","Monkfish",1547.98683400001,1589.36594000001,3.27216983138061,"2012"
"4003",2012,"VIIj","Mackerel",4939.584108,4981.276308,0.968487099562108,"2012"
"4004",2016,"VIIb","Lobster",45.74858,89.4400599924493,14.1364673876216,"2016"
